class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
SavedConnectionCommand,SavedConnectionCommand,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
TestConnectCommand,TestConnectCommand,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
TestQueryCommand,TestQueryCommand,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MariaDBConnectionManager,MariaDBConnectionManager,com.google.refine.extension.database.mariadb,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.mariadb,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MariaDBDatabaseService,MariaDBDatabaseService,com.google.refine.extension.database.mariadb,True,0.7000000000000001,Class name 'MariaDBDatabaseService' suggests service functionality; Contains service-typical methods: executeQuery,service,Name matches service pattern; Methods: executeQuery,rule-based + semantic analysis,26.85,2025-08-10T01:45:53.391645
DatabaseColumn,DatabaseColumn,com.google.refine.extension.database.model,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.model,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseInfo,DatabaseInfo,com.google.refine.extension.database.model,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.model,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseQueryInfo,DatabaseQueryInfo,com.google.refine.extension.database.model,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.model,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseRow,DatabaseRow,com.google.refine.extension.database.model,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.model,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseTable,DatabaseTable,com.google.refine.extension.database.model,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.model,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MySQLConnectionManager,MySQLConnectionManager,com.google.refine.extension.database.mysql,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.mysql,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MySQLDatabaseService,MySQLDatabaseService,com.google.refine.extension.database.mysql,True,0.7000000000000001,Class name 'MySQLDatabaseService' suggests service functionality; Contains service-typical methods: executeQuery,service,Name matches service pattern; Methods: executeQuery,rule-based + semantic analysis,26.85,2025-08-10T01:45:53.391645
PgSQLConnectionManager,PgSQLConnectionManager,com.google.refine.extension.database.pgsql,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.pgsql,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PgSQLDatabaseService,PgSQLDatabaseService,com.google.refine.extension.database.pgsql,True,0.7000000000000001,Class name 'PgSQLDatabaseService' suggests service functionality; Contains service-typical methods: executeQuery,service,Name matches service pattern; Methods: executeQuery,rule-based + semantic analysis,26.85,2025-08-10T01:45:53.391645
SQLiteConnectionManager,SQLiteConnectionManager,com.google.refine.extension.database.sqlite,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.sqlite,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SQLiteDatabaseService,SQLiteDatabaseService,com.google.refine.extension.database.sqlite,True,0.7000000000000001,Class name 'SQLiteDatabaseService' suggests service functionality,service,Name matches service pattern; Methods: executeQuery,rule-based + semantic analysis,26.85,2025-08-10T01:45:53.391645
DatabaseConfigurationTest,DatabaseConfigurationTest,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseImportControllerTest,DatabaseImportControllerTest,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseServiceTest,DatabaseServiceTest,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DBExtensionTests,DBExtensionTests,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DBExtensionTestUtils,DBExtensionTestUtils,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
InitMariaDBTestDatabase,InitMariaDBTestDatabase,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
InitMySQLTestDatabase,InitMySQLTestDatabase,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
InitPostgresTestDatabase,InitPostgresTestDatabase,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
InitSQLiteTestDatabase,InitSQLiteTestDatabase,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SimpleTextEncryptorTest,SimpleTextEncryptorTest,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ConnectCommandTest,ConnectCommandTest,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ExecuteQueryCommandTest,ExecuteQueryCommandTest,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SavedConnectionCommandTest,SavedConnectionCommandTest,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
TestConnectCommandTest,TestConnectCommandTest,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
TestQueryCommandTest,TestQueryCommandTest,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MariaDBConnectionManagerTest,MariaDBConnectionManagerTest,com.google.refine.extension.database.mariadb,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.mariadb,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MariaDBDatabaseServiceTest,MariaDBDatabaseServiceTest,com.google.refine.extension.database.mariadb,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.mariadb,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MySQLConnectionManagerTest,MySQLConnectionManagerTest,com.google.refine.extension.database.mysql,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.mysql,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MySQLDatabaseServiceTest,MySQLDatabaseServiceTest,com.google.refine.extension.database.mysql,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.mysql,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PgSQLConnectionManagerTest,PgSQLConnectionManagerTest,com.google.refine.extension.database.pgsql,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.pgsql,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PgSQLDatabaseServiceTest,PgSQLDatabaseServiceTest,com.google.refine.extension.database.pgsql,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.pgsql,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SQLiteConnectionManagerTest,SQLiteConnectionManagerTest,com.google.refine.extension.database.sqlite,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.sqlite,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SQLiteDatabaseServiceTest,SQLiteDatabaseServiceTest,com.google.refine.extension.database.sqlite,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.sqlite,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
RefineDbServletStub,RefineDbServletStub,com.google.refine.extension.database.stub,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.stub,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
JythonEvaluable,JythonEvaluable,com.google.refine.jython,False,0.95,Class appears to be correctly placed,com.google.refine.jython,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
this,this,com.google.refine.jython,False,0.95,Class appears to be correctly placed,com.google.refine.jython,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
JythonHasFieldsWrapper,JythonHasFieldsWrapper,com.google.refine.jython,False,0.95,Class appears to be correctly placed,com.google.refine.jython,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
JythonObjectWrapper,JythonObjectWrapper,com.google.refine.jython,False,0.95,Class appears to be correctly placed,com.google.refine.jython,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
JythonAttributeTest,JythonAttributeTest,com.google.refine.jython,False,0.95,Class appears to be correctly placed,com.google.refine.jython,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MyFieldObject,MyFieldObject,com.google.refine.jython,False,0.95,Class appears to be correctly placed,com.google.refine.jython,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
JythonEvaluableTest,JythonEvaluableTest,com.google.refine.jython,False,0.95,Class appears to be correctly placed,com.google.refine.jython,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
Foo,Foo,com.google.refine.jython,False,0.95,Class appears to be correctly placed,com.google.refine.jython,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
UTC,UTC,com.google.refine.jython,False,0.95,Class appears to be correctly placed,com.google.refine.jython,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PCAxisImporter,PCAxisImporter,com.google.refine.pcaxis,False,0.95,Class appears to be correctly placed,com.google.refine.pcaxis,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PCAxisTableDataReader,PCAxisTableDataReader,com.google.refine.pcaxis,False,0.95,Class appears to be correctly placed,com.google.refine.pcaxis,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
Dimension,Dimension,com.google.refine.pcaxis,False,0.95,Class appears to be correctly placed,com.google.refine.pcaxis,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
CommandUtilities,CommandUtilities,org.openrefine.wikibase.commands,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.commands,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ConnectionManager,ConnectionManager,org.openrefine.wikibase.commands,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.commands,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
FetchManifestCommand,FetchManifestCommand,org.openrefine.wikibase.commands,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.commands,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
LoginCommand,LoginCommand,org.openrefine.wikibase.commands,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.commands,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ParseWikibaseSchemaCommand,ParseWikibaseSchemaCommand,org.openrefine.wikibase.commands,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.commands,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
WikibaseSchemaTemplate,WikibaseSchemaTemplate,org.openrefine.wikibase.commands,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.commands,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PerformWikibaseEditsCommand,PerformWikibaseEditsCommand,org.openrefine.wikibase.commands,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.commands,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PreviewResults,PreviewResults,org.openrefine.wikibase.commands,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.commands,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PreviewWikibaseSchemaCommand,PreviewWikibaseSchemaCommand,org.openrefine.wikibase.commands,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.commands,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SaveWikibaseSchemaCommand,SaveWikibaseSchemaCommand,org.openrefine.wikibase.commands,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.commands,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
EditBatchProcessor,EditBatchProcessor,org.openrefine.wikibase.editing,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.editing,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
EditResult,EditResult,org.openrefine.wikibase.editing,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.editing,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
EditResultsFormatter,EditResultsFormatter,org.openrefine.wikibase.editing,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.editing,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MediaFileUtils,MediaFileUtils,org.openrefine.wikibase.editing,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.editing,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MediaUploadResponse,MediaUploadResponse,org.openrefine.wikibase.editing,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.editing,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ChunkedFile,ChunkedFile,org.openrefine.wikibase.editing,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.editing,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
NewEntityLibrary,NewEntityLibrary,org.openrefine.wikibase.editing,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.editing,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
that,that,org.openrefine.wikibase.editing,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.editing,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ReconEntityRewriter,ReconEntityRewriter,org.openrefine.wikibase.editing,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.editing,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
MissingEntityIdFound,MissingEntityIdFound,org.openrefine.wikibase.editing,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.editing,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
QSSnakPrinter,QSSnakPrinter,org.openrefine.wikibase.exporters,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.exporters,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
QSValuePrinter,QSValuePrinter,org.openrefine.wikibase.exporters,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.exporters,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
QuickStatementsExporter,QuickStatementsExporter,org.openrefine.wikibase.exporters,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.exporters,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SchemaExporter,SchemaExporter,org.openrefine.wikibase.exporters,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.exporters,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
WikibaseIssuesFunction,WikibaseIssuesFunction,org.openrefine.wikibase.functions,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.functions,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
Manifest,Manifest,org.openrefine.wikibase.manifests,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.manifests,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
to,to,org.openrefine.wikibase.manifests,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.manifests,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
of,of,org.openrefine.wikibase.manifests,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.manifests,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ManifestException,ManifestException,org.openrefine.wikibase.manifests,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.manifests,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ManifestParser,ManifestParser,org.openrefine.wikibase.manifests,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.manifests,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ManifestV1,ManifestV1,org.openrefine.wikibase.manifests,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.manifests,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ManifestV2,ManifestV2,org.openrefine.wikibase.manifests,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.manifests,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
EntityTypeSettings,EntityTypeSettings,org.openrefine.wikibase.manifests,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.manifests,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PerformWikibaseEditsOperation,PerformWikibaseEditsOperation,org.openrefine.wikibase.operations,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.operations,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PerformWikibaseEditsChange,PerformWikibaseEditsChange,org.openrefine.wikibase.operations,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.operations,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
PerformEditsProcess,PerformEditsProcess,org.openrefine.wikibase.operations,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.operations,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SaveWikibaseSchemaOperation,SaveWikibaseSchemaOperation,org.openrefine.wikibase.operations,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.operations,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
WikibaseSchemaChange,WikibaseSchemaChange,org.openrefine.wikibase.operations,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.operations,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
is,is,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
defining,defining,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
Constraint,Constraint,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
provides,provides,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ConstraintFetcher,ConstraintFetcher,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
EditInspector,EditInspector,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
to,to,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
QAWarning,QAWarning,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
Severity,Severity,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
QAWarningStore,QAWarningStore,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SchemaPropertyExtractor,SchemaPropertyExtractor,org.openrefine.wikibase.qa,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
CalendarScrutinizer,CalendarScrutinizer,org.openrefine.wikibase.qa.scrutinizers,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa.scrutinizers,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
CommonDescriptionScrutinizer,CommonDescriptionScrutinizer,org.openrefine.wikibase.qa.scrutinizers,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa.scrutinizers,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ConflictsWithScrutinizer,ConflictsWithScrutinizer,org.openrefine.wikibase.qa.scrutinizers,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa.scrutinizers,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ConflictsWithConstraint,ConflictsWithConstraint,org.openrefine.wikibase.qa.scrutinizers,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa.scrutinizers,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DescriptionScrutinizer,DescriptionScrutinizer,org.openrefine.wikibase.qa.scrutinizers,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa.scrutinizers,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DifferenceWithinRangeScrutinizer,DifferenceWithinRangeScrutinizer,org.openrefine.wikibase.qa.scrutinizers,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa.scrutinizers,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DifferenceWithinRangeConstraint,DifferenceWithinRangeConstraint,org.openrefine.wikibase.qa.scrutinizers,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa.scrutinizers,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DistinctValuesScrutinizer,DistinctValuesScrutinizer,org.openrefine.wikibase.qa.scrutinizers,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa.scrutinizers,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
EditScrutinizer,EditScrutinizer,org.openrefine.wikibase.qa.scrutinizers,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa.scrutinizers,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
EnglishDescriptionScrutinizer,EnglishDescriptionScrutinizer,org.openrefine.wikibase.qa.scrutinizers,False,0.95,Class appears to be correctly placed,org.openrefine.wikibase.qa.scrutinizers,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
